dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1690205418,1,118.897950,31.911187,0.000000,21.043701,0.000000,0.000000,0,1,19.087163
1690373107,1,118.812195,31.934372,0.000000,40.000000,0.000000,0.000000,0,1,25.475050
1690373106,1,118.812195,31.934372,0.000000,40.000000,0.000000,0.000000,0,1,25.475050
1690373108,1,118.812195,31.934372,0.000000,40.000000,0.000000,0.000000,0,1,25.475050
1690373109,1,118.812212,31.934375,0.000000,40.000000,0.000000,0.000000,0,1,25.475050
1690380169,1,118.897963,31.911175,0.000000,21.365427,0.000000,0.000000,0,1,64.235046
1690432776,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,19.506328
1690639233,1,118.898000,31.911167,0.000000,-1.000000,0.000000,0.000000,0,1,17.000000
1690641016,1,118.897958,31.911163,0.000000,-1.000000,0.000000,0.000000,0,1,18.096148
1690641179,1,118.897958,31.911163,0.000000,-1.000000,0.000000,0.000000,0,1,17.937836
1690641237,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,17.782534
1690641306,1,118.898000,31.911167,0.000000,-1.000000,0.000000,0.000000,0,1,17.000000
1690641340,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,18.002489
1690641416,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,17.902037
1690903634,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,17.991240
1690903648,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,18.090006
1690903661,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,17.980151
1690903668,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,17.992491
1690903702,1,118.897955,31.911172,0.000000,20.824696,0.000000,0.000000,0,1,18.123030
1692254918,1,118.898208,31.910780,0.000000,38.405846,0.000000,0.000000,0,1,16.933374
1692431710,1,120.086831,30.307420,0.000000,19.832071,0.000000,0.000000,0,1,5.836695
1692431711,1,120.086831,30.307350,0.000000,19.153823,0.000000,0.000000,0,1,6.541669
1692431890,1,120.086167,30.307017,0.000000,52.331138,0.000000,0.000000,0,1,9.503257
1692431988,1,120.084192,30.307162,0.000000,10.600850,0.000000,0.000000,0,1,5.839855
1692431994,1,120.084183,30.307062,0.000000,7.902724,0.000000,0.000000,0,1,6.103223
1692432054,1,120.084061,30.306620,0.000000,40.000000,0.000000,0.000000,0,1,9.218044
1692433120,1,120.085306,30.300178,0.000000,14.248582,0.088110,0.000000,0,1,8.776306
1692433122,1,120.085306,30.300178,0.000000,14.246478,0.013063,0.000000,0,1,8.624496
1692433172,1,120.085158,30.299792,0.000000,14.270663,0.281517,0.000000,0,1,8.492026
1692433197,1,120.085022,30.299612,0.000000,14.244321,0.000000,0.000000,0,1,7.492528
1692433199,1,120.085022,30.299612,0.000000,14.244094,0.000000,0.000000,0,1,7.492528
1692433964,1,120.079689,30.299363,0.000000,14.243851,0.029176,0.000000,0,1,7.051514
1692433965,1,120.079689,30.299363,0.000000,14.242768,0.028805,0.000000,0,1,7.002985
1692434115,1,120.077933,30.299337,0.000000,14.246384,0.139031,0.000000,0,1,6.098699
1692434314,1,120.076972,30.298250,0.000000,14.241771,0.315684,0.000000,0,1,6.387116
1692522847,1,120.083564,30.307180,0.000000,11.508041,0.000000,0.000000,0,1,6.620000
1692669288,1,120.121361,30.263322,0.000000,40.000000,0.000000,0.000000,0,1,13.103635
1692669321,1,120.120925,30.263430,0.000000,14.259445,0.367902,0.000000,0,1,13.323465
1692669773,1,120.118453,30.264537,0.000000,23.426205,0.000000,0.000000,0,1,20.539353
1692669994,1,120.116439,30.265245,0.000000,14.150376,0.000000,0.000000,0,1,24.177012
1692670040,1,120.116189,30.265167,0.000000,16.828567,0.000000,0.000000,0,1,27.944919
1692697020,1,120.079155,30.340950,0.000000,14.251490,0.265430,0.000000,0,1,9.031095
1692713210,1,120.088814,30.309338,0.000000,35.000000,0.000000,0.000000,0,1,10.845056
1692713217,1,120.088828,30.309358,0.000000,35.000000,0.000000,0.000000,0,1,10.882303
1692757728,1,120.152214,30.261245,0.000000,7.718089,0.513103,0.000000,0,1,10.925436
1692757744,1,120.152222,30.261117,0.000000,14.288891,0.247050,0.000000,0,1,12.390632
1692758090,1,120.153092,30.259478,0.000000,40.000000,0.000000,0.000000,0,1,13.651005
1692758091,1,120.153092,30.259462,0.000000,40.000000,0.000000,0.000000,0,1,13.651380
1692758095,1,120.153030,30.259420,0.000000,13.678588,0.000000,0.000000,0,1,11.153999
1692758100,1,120.153030,30.259420,0.000000,10.268584,0.000000,0.000000,0,1,11.153999
1692758743,1,120.154761,30.258408,0.000000,1049.333333,0.000000,0.000000,0,1,13.111932
1692760509,1,120.141783,30.241930,0.000000,57.538893,0.000000,0.000000,0,1,11.119648
1692760890,1,120.140883,30.240667,0.000000,68.463699,0.000000,0.000000,0,1,12.986897
1692761032,1,120.140511,30.239892,0.000000,11.989469,0.000000,0.000000,0,1,11.904950
1692765117,1,120.144531,30.232797,0.000000,5.890499,0.000000,0.000000,0,1,19.040856
1692765529,1,120.145011,30.232730,0.000000,14.086450,0.000000,0.000000,0,1,16.350184
1692767174,1,120.144608,30.232645,0.000000,47.629055,0.000000,0.000000,0,1,29.468275
1692767179,1,120.144920,30.232892,0.000000,38.000000,0.000000,0.000000,0,1,19.948061
1692767273,1,120.145203,30.234205,0.000000,35.000000,0.000000,0.000000,0,1,32.780283
1692767278,1,120.145317,30.233978,0.000000,51.484417,0.000000,0.000000,0,1,24.602920
1692839727,1,120.077950,30.310178,0.000000,35.000000,0.000000,0.000000,0,1,10.955850
1692839730,1,120.077942,30.310153,0.000000,35.000000,0.000000,0.000000,0,1,10.989135
1692920762,1,120.079208,30.310117,0.000000,117.899834,0.000000,0.000000,0,1,10.371972
1693015723,1,120.080100,30.304870,0.000000,35.000000,0.000000,0.000000,0,1,11.382785
1693023535,1,120.067825,30.302320,0.000000,36.756832,0.000000,0.000000,0,1,6.230541
1693042114,1,120.067300,30.302497,0.000000,35.000000,0.000000,0.000000,0,1,7.170022
1693042116,1,120.067300,30.302497,0.000000,35.000000,0.000000,0.000000,0,1,7.170022
1693045659,1,120.081253,30.311105,0.000000,35.000000,0.000000,0.000000,0,1,10.204237
1693134710,1,120.080125,30.304867,0.000000,35.000000,0.000000,0.000000,0,1,11.061995
1693134877,1,120.080117,30.304887,0.000000,35.000000,0.000000,0.000000,0,1,11.539681
1693134982,1,120.080130,30.304905,0.000000,35.000000,0.000000,0.000000,0,1,11.357295
1693135319,1,120.080130,30.304887,0.000000,35.000000,0.000000,0.000000,0,1,11.409600
1693135412,1,120.079917,30.305503,0.000000,65.621349,0.000000,0.000000,0,1,8.267000
1693135544,1,120.080100,30.304870,0.000000,35.000000,0.000000,0.000000,0,1,11.430305
1693135668,1,120.080125,30.304883,0.000000,35.000000,0.000000,0.000000,0,1,11.280632
1693136497,1,120.080117,30.304888,0.000000,35.000000,0.000000,0.000000,0,1,11.326208
1693136547,1,120.080069,30.304870,0.000000,35.000000,0.000000,0.000000,0,1,11.420997
1693136811,1,120.080125,30.304858,0.000000,50.000000,0.000000,0.000000,0,1,11.391152
1693136962,1,120.080117,30.304908,0.000000,35.000000,0.000000,0.000000,0,1,11.380313
1693137127,1,120.080125,30.304838,0.000000,50.000000,0.000000,0.000000,0,1,11.388112
1693137312,1,120.080108,30.304838,0.000000,35.000000,0.000000,0.000000,0,1,11.404586
1693137451,1,120.080125,30.304875,0.000000,35.000000,0.000000,0.000000,0,1,11.284349
1693137486,1,120.080078,30.304883,0.000000,35.000000,0.000000,0.000000,0,1,11.435308
1693137757,1,120.080100,30.304870,0.000000,35.000000,0.000000,0.000000,0,1,11.358570
1693138189,1,120.080125,30.304892,0.000000,35.000000,0.000000,0.000000,0,1,11.342464
1693138484,1,120.080130,30.304850,0.000000,35.000000,0.000000,0.000000,0,1,11.326232
1693138722,1,120.080117,30.304850,0.000000,35.000000,0.000000,0.000000,0,1,11.308715
1693138877,1,120.080130,30.304845,0.000000,35.000000,0.000000,0.000000,0,1,11.327748
1693139277,1,120.080117,30.304872,0.000000,35.000000,0.000000,0.000000,0,1,11.256371
1693139395,1,120.080130,30.304838,0.000000,50.000000,0.000000,0.000000,0,1,11.380446
1693141841,1,120.080125,30.304912,0.000000,35.000000,0.000000,0.000000,0,1,11.161594
1693144226,1,120.080117,30.304863,0.000000,35.000000,0.000000,0.000000,0,1,11.152036
1693144308,1,120.080108,30.304870,0.000000,35.000000,0.000000,0.000000,0,1,11.315249
1693146044,1,120.079225,30.307670,0.000000,6.282120,0.000000,0.000000,0,1,18.996418
1693198676,1,120.084542,30.309947,0.000000,40.000000,0.000000,0.000000,0,1,9.651313
1693199751,1,120.084525,30.309963,0.000000,35.000000,0.000000,0.000000,0,1,9.659209
1693200022,1,120.084550,30.309975,0.000000,35.000000,0.000000,0.000000,0,1,9.660240
1693207200,1,120.079505,30.304522,0.000000,35.000000,0.000000,0.000000,0,1,10.587102
1693207203,1,120.079505,30.304522,0.000000,35.000000,0.000000,0.000000,0,1,10.587102
